"doctor","n","Period","Group","percentage"
"宋晏仁",208,"2019-2026","All",22.807017543859647
"鄧雯心",188,"2019-2026","All",20.614035087719298
"李唐越",184,"2019-2026","All",20.175438596491226
"魏士航",81,"2019-2026","All",8.881578947368421
"吳榛槿",51,"2019-2026","All",5.592105263157895
"陳威龍",45,"2019-2026","All",4.934210526315789
"李思賢",37,"2019-2026","All",4.057017543859649
"許芷瑜",34,"2019-2026","All",3.7280701754385963
NA,27,"2019-2026","All",2.9605263157894735
"周建安",22,"2019-2026","All",2.4122807017543857
"王律婷",15,"2019-2026","All",1.644736842105263
"范亞萱",8,"2019-2026","All",0.8771929824561403
"吳銘鋐",6,"2019-2026","All",0.6578947368421052
"楊智雯",4,"2019-2026","All",0.43859649122807015
"思思",1,"2019-2026","All",0.10964912280701754
"黃致遠",1,"2019-2026","All",0.10964912280701754
"李唐越",177,"2019-2026","GLP-1 user",26.183431952662723
"鄧雯心",119,"2019-2026","GLP-1 user",17.60355029585799
"宋晏仁",106,"2019-2026","GLP-1 user",15.680473372781064
"魏士航",64,"2019-2026","GLP-1 user",9.467455621301776
"吳榛槿",51,"2019-2026","GLP-1 user",7.544378698224852
"陳威龍",44,"2019-2026","GLP-1 user",6.508875739644971
"李思賢",37,"2019-2026","GLP-1 user",5.473372781065089
"許芷瑜",28,"2019-2026","GLP-1 user",4.142011834319527
"周建安",16,"2019-2026","GLP-1 user",2.366863905325444
"王律婷",15,"2019-2026","GLP-1 user",2.2189349112426036
"范亞萱",8,"2019-2026","GLP-1 user",1.183431952662722
"吳銘鋐",6,"2019-2026","GLP-1 user",0.8875739644970414
"楊智雯",4,"2019-2026","GLP-1 user",0.591715976331361
"黃致遠",1,"2019-2026","GLP-1 user",0.14792899408284024
"宋晏仁",102,"2019-2026","Non-GLP-1 user",43.22033898305085
"鄧雯心",69,"2019-2026","Non-GLP-1 user",29.23728813559322
NA,27,"2019-2026","Non-GLP-1 user",11.440677966101696
"魏士航",17,"2019-2026","Non-GLP-1 user",7.203389830508475
"李唐越",7,"2019-2026","Non-GLP-1 user",2.9661016949152543
"周建安",6,"2019-2026","Non-GLP-1 user",2.5423728813559325
"許芷瑜",6,"2019-2026","Non-GLP-1 user",2.5423728813559325
"思思",1,"2019-2026","Non-GLP-1 user",0.423728813559322
"陳威龍",1,"2019-2026","Non-GLP-1 user",0.423728813559322
"李唐越",44,"2025-2026","All",23.52941176470588
"魏士航",29,"2025-2026","All",15.508021390374333
"陳威龍",28,"2025-2026","All",14.973262032085561
"宋晏仁",20,"2025-2026","All",10.695187165775401
"李思賢",18,"2025-2026","All",9.62566844919786
"鄧雯心",13,"2025-2026","All",6.951871657754011
"王律婷",12,"2025-2026","All",6.417112299465241
"范亞萱",8,"2025-2026","All",4.27807486631016
"許芷瑜",8,"2025-2026","All",4.27807486631016
"周建安",4,"2025-2026","All",2.13903743315508
"吳榛槿",2,"2025-2026","All",1.06951871657754
NA,1,"2025-2026","All",0.53475935828877
"李唐越",44,"2025-2026","GLP-1 user",23.91304347826087
"魏士航",29,"2025-2026","GLP-1 user",15.760869565217392
"陳威龍",27,"2025-2026","GLP-1 user",14.673913043478262
"宋晏仁",20,"2025-2026","GLP-1 user",10.869565217391305
"李思賢",18,"2025-2026","GLP-1 user",9.782608695652174
"鄧雯心",13,"2025-2026","GLP-1 user",7.065217391304348
"王律婷",12,"2025-2026","GLP-1 user",6.521739130434782
"范亞萱",8,"2025-2026","GLP-1 user",4.3478260869565215
"許芷瑜",8,"2025-2026","GLP-1 user",4.3478260869565215
"周建安",3,"2025-2026","GLP-1 user",1.6304347826086956
"吳榛槿",2,"2025-2026","GLP-1 user",1.0869565217391304
"周建安",1,"2025-2026","Non-GLP-1 user",33.33333333333333
"陳威龍",1,"2025-2026","Non-GLP-1 user",33.33333333333333
NA,1,"2025-2026","Non-GLP-1 user",33.33333333333333
